apt_name,price,address,station_distance,area,floor_plan,balcony,year
メインステージ西新宿Ⅱ,6480万円,東京都新宿区西新宿４-39-27,京王新線「初台」徒歩10分,43.64m2（13.20坪）（壁芯）,1LDK,9.3m2,2011年12月
パレドール原宿,6480万円,東京都渋谷区神宮前２,ＪＲ山手線「原宿」徒歩10分,57.64m2（壁芯）,1LDK,-,1978年8月
ジーエスグランド文京千駄木,6480万円,東京都文京区千駄木３,東京メトロ千代田線「千駄木」徒歩2分,37.66m2（壁芯）,1LDK,4.86m2,2020年4月
シティハウス東京新橋,6490万円,東京都港区新橋６,都営三田線「御成門」徒歩3分,31.39m2（壁芯）,1DK,2.94m2,2004年8月
ライオンズマンション下落合,6499万円,東京都新宿区中落合１,西武新宿線「下落合」徒歩3分,59.3m2（17.93坪）（壁芯）,2LDK,8.36m2,1983年8月
セザールベイサイド勝どき,6499万円,東京都中央区勝どき３-3-12,都営大江戸線「勝どき」徒歩4分,43.64m2（壁芯）,1LDK,4.18m2,2002年12月
ハウス高田馬場,6499万円,東京都新宿区高田馬場４,ＪＲ山手線「高田馬場」徒歩10分,81.05m2,3LDK,6.12m2,1979年3月
セザールベイサイド勝どき,6499万円,東京都中央区勝どき３-3-12,都営大江戸線「勝どき」徒歩5分,43.64m2（13.20坪）,1LDK,4.18m2,2002年12月
ライオンズマンション下落合,6499万円,東京都新宿区中落合１,西武新宿線「下落合」徒歩3分,59.3m2（壁芯）,2LDK,8.36m2,1983年8月
ライオンズマンション下落合,6499万円,東京都新宿区中落合１,西武新宿線「下落合」徒歩3分,59.3m2（壁芯）,2LDK,8.36m2,1983年8月
ＡＲＴＥＳＳＩＭＯ　ＰＲＩＭＡ（アルテシモプリマ）,6500万円,東京都中央区日本橋中洲7-7,東京メトロ半蔵門線「水天宮前」徒歩7分,43.99m2（13.30坪）,1LDK,6.59m2,2014年8月
アルテシモプリマ,6500万円,東京都中央区日本橋中洲,東京メトロ半蔵門線「水天宮前」徒歩7分,43.99m2（13.30坪）（壁芯）,1LDK,6.59m2,2014年8月
【独占公開！弊社管理物件！】オープンレジデンシア虎ノ…,6500万円,東京都港区西新橋３-4-4,都営三田線「御成門」徒歩7分,34.16m2（壁芯）,1LDK,3.94m2,2017年2月
パレス本駒込,6580万円,東京都文京区本駒込４-35-19,ＪＲ山手線「駒込」徒歩10分,60.34m2（18.25坪）,3LDK,12.91m2,1987年11月
メイクスデザイン高田馬場,6588万円,東京都新宿区下落合２-1-17,ＪＲ山手線「高田馬場」徒歩7分,44.06m2（13.32坪）,1LDK,4.15m2,2013年2月
朝日九段マンション,6590万円,東京都千代田区九段北１,東京メトロ半蔵門線「九段下」徒歩2分,40.07m2（壁芯）,1LDK,4.65m2,1978年8月
セザールベイサイド勝どき,6599万円,東京都中央区勝どき３,都営大江戸線「勝どき」徒歩4分,43.64m2（壁芯）,1LDK,4.18m2,2002年12月
ガーデンホーム落合ヒルズ,6650万円,東京都新宿区中落合２,西武新宿線「下落合」徒歩4分,66.62m2（壁芯）,3LDK,-,1996年11月
藤和新宿番衆町コープ,6699万円,東京都新宿区新宿５,東京メトロ丸ノ内線「新宿御苑前」徒歩6分,48m2（壁芯）,2DK,7.8m2,1983年7月
下落合南デュープレックス,6780万円,東京都新宿区中落合１,西武新宿線「下落合」徒歩6分,63.8m2（壁芯）,2LDK+S（納戸）,4.08m2,1998年3月
ウィルローズ茅場町,6780万円,東京都中央区新川１,東京メトロ日比谷線「八丁堀」徒歩5分,40.34m2（壁芯）,1LDK,5.02m2,2011年6月
クオリア代々木,6780万円,東京都渋谷区千駄ヶ谷４-30-8,ＪＲ山手線「代々木」徒歩4分,35.17m2（10.63坪）（壁芯）,1LDK,5.91m2,2005年2月
ブリス弥生　安心のオートロックシステム+宅配ボックス…,6780万円,東京都文京区弥生２,東京メトロ千代田線「根津」徒歩3分,56.35m2,2LDK,3.3m2,1995年10月
Brillia銀座id,6850万円,東京都中央区銀座２,東京メトロ銀座線「銀座」徒歩6分,30.2m2,ワンルーム,5.95m2,2004年10月
藤和初台コープ２,6880万円,東京都渋谷区初台１,京王新線「初台」徒歩4分,51.57m2（15.59坪）（壁芯）,2LDK,7.02m2,1985年4月
藤和初台コープ2,6880万円,東京都渋谷区初台１,京王新線「初台」徒歩4分,51.57m2（壁芯）,2LDK,7.02m2,1985年4月
グローリオコンフォート文京本駒込,6880万円,東京都文京区本駒込５,東京メトロ南北線「駒込」徒歩5分,40.18m2,1LDK,9.06m2,2018年1月
徳川マンション,6890万円,東京都文京区千石１,都営三田線「千石」徒歩5分,72.98m2,2LDK,4.15m2,1971年2月
市ヶ谷左内坂ハイム,6899万円,東京都新宿区市谷左内町,東京メトロ有楽町線「市ケ谷」徒歩3分,57.89m2（壁芯）,2LDK,18.89m2,1972年9月
市ヶ谷左内坂ハイム,6899万円,東京都新宿区市谷左内町,ＪＲ総武線「市ケ谷」徒歩5分,57.89m2（壁芯）,2LDK,18.89m2,1972年9月
